key,en,zh,status
collections.planToWatch,Plan to Watch,想看,ok
collections.planToWatchDescription,Titles you want to start later.,之后想开始看的条目。,ok
collections.watching,Watching,在看,ok
collections.watchingDescription,Titles currently in progress.,当前正在看的条目。,ok
common.account,Account,账户,ok
common.appName,Watch Tracker,观影追踪,ok
common.cancel,Cancel,取消,ok
common.confirm,Confirm,确认,ok
common.create,Create,创建,ok
common.creating,Creating...,正在创建...,ok
common.done,Done,完成,ok
common.externalError,Unexpected error.,发生了未知错误。,ok
common.home,Home,首页,ok
common.loggingOut,Logging out...,正在退出...,ok
common.login,Login,登录,ok
common.logout,Logout,退出登录,ok
common.movie,Movie,电影,ok
common.myList,My List,我的片单,ok
common.noDescription,No description available.,暂无描述。,ok
common.noOverview,No overview available.,暂无简介。,ok
common.noPoster,No poster,暂无海报,ok
common.notAvailable,N/A,不适用,ok
common.notLoggedIn,Not logged in,未登录,ok
common.profile,Profile,个人资料,ok
common.save,Save,保存,ok
common.saving,Saving...,正在保存...,ok
common.search,Search,搜索,ok
common.selected,Selected,已选择,ok
common.settings,Settings,设置,ok
common.signedInUser,Signed-in user,已登录用户,ok
common.signup,Sign Up,注册,ok
common.tv,TV,剧集,ok
common.unknown,Unknown,未知,ok
common.unknownYear,Unknown year,年份未知,ok
header.accountMenu,Account menu,账户菜单,ok
header.openAccountMenu,Open account menu,打开账户菜单,ok
header.primaryNav,Primary,主导航,ok
header.tagline,"Search TMDB movies and TV shows, then track them in your list.",搜索 TMDB 电影和剧集，并把它们加入你的片单。,ok
home.description,"Search TMDB for movies and TV shows, save titles to a protected collection, and organize progress with statuses, custom lists, ratings, and reviews.",搜索 TMDB 的电影和剧集，把条目保存到受保护的个人片单，并用状态、自定义列表、评分和短评整理进度。,ok
home.organizeList,Organize your list,整理你的播放列表,ok
home.organizeListDescription,"Review saved titles by status, custom list, rating, review, and TV episode progress.",按状态、自定义列表、评分、短评和剧集进度查看已保存内容。,ok
home.saveTitles,Save titles,保存条目,ok
home.saveTitlesDescription,"Add titles as Want to Watch, Watching, or Completed from their detail pages.",在详情页把条目标记为想看、在看或已看完。,ok
home.searchTitles,Search Titles,搜索条目,ok
home.searchTmdb,Search TMDB,搜索 TMDB,ok
home.searchTmdbDescription,"Find movies and TV shows, then open a result to view its title details.",查找电影和剧集，打开结果即可查看标题详情。,ok
home.title,Track what you watch without the clutter.,轻松追踪你的观看记录，告别杂乱无章,ok
home.viewMyList,View My List,查看我的片单,ok
library.addTitle,Add a title,添加条目,ok
library.clickTitleToRename,Click to rename this list,点击重命名此列表,ok
library.confirmRemoveList,Remove this custom list? Titles stay in your main list.,删除此自定义列表？标题仍会保留在你的主片单中。,ok
library.customLists,User custom lists,自定义列表,ok
library.description,Browse status collections and user-created custom lists in a compact collection hub.,在一个紧凑的片单中心浏览系统状态集合和用户自定义列表。,ok
library.emptyAllDescription,"Search for a movie or TV title, open its detail page, and choose a watch status to start building your list.",搜索电影或剧集，打开详情页并选择观看状态，就可以开始构建片单。,ok
library.emptyAllTitle,Your list is empty,你的片单还是空的,ok
library.emptyCollectionDescription,Add or assign saved titles from their title detail pages.,可以在标题详情页添加或分配已保存条目。,ok
library.emptyCollectionTitle,No titles in this collection,此集合暂无条目,ok
library.eyebrow,Library,片库,ok
library.listActionsFor,[FUNCTION] (list: string) => `Actions for ${list}`,[FUNCTION] (list: string) => `${list} 的操作`,ok
library.listName,List name,列表名称,ok
library.moreActionsComingSoon,More list actions coming soon,更多列表操作即将加入,ok
library.newList,+ New list,+ 新建列表,ok
library.noCustomLists,No custom lists yet.,还没有自定义列表。,ok
library.noSupabase,Supabase environment variables are not configured yet. Add them before testing the protected page.,Supabase 环境变量尚未配置。请先配置后再测试受保护页面。,ok
library.openListActions,[FUNCTION] (list: string) => `Open actions for ${list}`,[FUNCTION] (list: string) => `打开 ${list} 的操作菜单`,ok
library.removeList,Remove list,删除列表,ok
library.renameList,Rename list,重命名列表,ok
library.signedInAs,Signed in as,当前登录,ok
library.subscribedLists,Subscribed lists,订阅列表,ok
library.subscribedPlaceholder,Placeholder for a future subscribed-lists feature.,这里预留给未来的订阅列表功能。,ok
library.systemCollections,System collections,系统集合,ok
library.title,My List,我的片单,ok
searchPage.description,"Find movies and TV titles from TMDB, then open a result to add it to your list.",从 TMDB 查找电影和剧集，打开结果后即可加入你的片单。,ok
searchPage.emptyHint,Enter a title to search TMDB for movies and TV shows.,输入标题即可在 TMDB 中搜索电影和剧集。,ok
searchPage.eyebrow,Explore,发现,ok
searchPage.found,[FUNCTION] (count: number) => `${count} found`,[FUNCTION] (count: number) => `找到 ${count} 个结果`,ok
searchPage.next,Next,下一页,ok
searchPage.noResults,No results,暂无结果,ok
searchPage.pageOf,"[FUNCTION] (page: number, total: number) => `Page ${page} of ${total}`","[FUNCTION] (page: number, total: number) => `第 ${page} / ${total} 页`",ok
searchPage.paginationLabel,Search result pages,搜索结果分页,ok
searchPage.placeholder,Search movies or TV...,搜索电影或剧集...,ok
searchPage.previous,Previous,上一页,ok
searchPage.queryLabel,Search query,搜索关键词,ok
searchPage.queryTooLong,[FUNCTION] (max: number) =>\n        `Search query must be ${max} characters or fewer.`,[FUNCTION] (max: number) => `搜索关键词不能超过 ${max} 个字符。`,ok
searchPage.resultsFor,[FUNCTION] (query: string) => `Results for ${query}`,[FUNCTION] (query: string) => `“${query}”的搜索结果`,ok
searchPage.title,Search,搜索,ok
searchPage.tryDifferent,Try a different movie or TV title.,试试其他电影或剧集标题。,ok
searchPage.unable,Unable to search TMDB.,无法搜索 TMDB。,ok
settingsMenu.globalPreferences,Global preferences,全局偏好,ok
settingsMenu.languageAria,Open language preference menu.,打开语言偏好菜单。,ok
settingsMenu.languagePreference,Language preference,语言偏好,ok
settingsMenu.languageTitle,Language preference,语言偏好,ok
settingsMenu.themeAria,"[FUNCTION] (theme: string) =>\n        `Theme preference: ${theme}. Click to cycle Light, Dark, System.`",[FUNCTION] (theme: string) =>\n        `当前主题偏好：${theme}。点击切换浅色、深色、跟随系统。`,ok
settingsMenu.themeTitle,[FUNCTION] (theme: string) => `Theme: ${theme}`,[FUNCTION] (theme: string) => `主题：${theme}`,ok
titleActions.completed,Completed,已看完,ok
titleActions.noRating,No rating,无评分,ok
titleActions.rating,Rating,评分,ok
titleActions.reviewPlaceholder,Add a short note about this title.,写一点你对这个标题的想法。,ok
titleActions.saveRatingReview,Save rating and review,保存评分和短评,ok
titleActions.savedStatus,Saved status,已保存状态,ok
titleActions.shortReview,Short review,短评,ok
titleActions.wantToWatch,Want to Watch,想看,ok
titleActions.watching,Watching,在看,ok
titlePage.addToYourList,Add to your list,加入你的片单,ok
titlePage.assignThisTitle,Assign this title,分配此标题,ok
titlePage.createAndAdd,Create and add,创建并加入,ok
titlePage.customListMenu,Custom list menu,自定义列表菜单,ok
titlePage.customListPlaceholder,Favorites,收藏,ok
titlePage.customLists,Custom lists,自定义列表,ok
titlePage.customListsDescription,User-created lists only. Status collections stay virtual.,仅包含用户创建的列表。系统状态集合保持为虚拟集合。,ok
titlePage.externalSource,External source,外部来源,ok
titlePage.eyebrow,Title,标题,ok
titlePage.feedbackAvailable,"Ratings, reviews, and episode progress are available after moving this title to Watching or Completed.",把此标题移动到在看或已看完后，可以填写评分、短评和剧集进度。,ok
titlePage.newCustomList,New custom list,新建自定义列表,ok
titlePage.notFoundDescription,The title could not be loaded from TMDB.,无法从 TMDB 加载此标题。,ok
titlePage.notFoundTitle,Title not found,未找到标题,ok
titlePage.openCustomListMenu,Open custom list menu,打开自定义列表菜单,ok
titlePage.originalTitle,Original title,原标题,ok
titlePage.releaseDate,Release date,上映日期,ok
titlePage.saveBeforeCustomLists,Save this title before adding it to custom lists.,请先保存此标题，再加入自定义列表。,ok
titlePage.saveLists,Save lists,保存列表,ok
titlePage.totalEpisodes,Total episodes,总集数,ok
titlePage.unable,Unable to load this title.,无法加载此标题。,ok
